iter	Passed	Remaining
897	38457	4368
898	38494	4324
899	38534	4281
900	38574	4238
901	38614	4195
902	38656	4152
903	38693	4109
904	38729	4065
905	38770	4022
906	38812	3979
907	38851	3936
908	38886	3892
909	38925	3849
910	38967	3806
911	39008	3764
912	39046	3720
913	39082	3677
914	39124	3634
915	39164	3591
916	39205	3548
917	39248	3505
918	39291	3463
919	39335	3420
920	39381	3378
921	39423	3335
922	39465	3292
923	39503	3249
924	39541	3206
925	39579	3162
926	39622	3120
927	39656	3076
928	39696	3033
929	39732	2990
930	39776	2947
931	39815	2905
932	39862	2862
933	39901	2819
934	39938	2776
935	39976	2733
936	40019	2690
937	40060	2647
938	40094	2604
939	40132	2561
940	40176	2519
941	40211	2475
942	40255	2433
943	40294	2390
944	40331	2347
945	40372	2304
946	40465	2264
947	40543	2223
948	40588	2181
949	40631	2138
950	40670	2095
951	40707	2052
952	40744	2009
953	40779	1966
954	40819	1923
955	40858	1880
956	40897	1837
957	40942	1794
958	40979	1751
959	41019	1709
960	41059	1666
961	41092	1623
962	41130	1580
963	41167	1537
964	41201	1494
965	41244	1451
966	41275	1408
967	41312	1365
968	41358	1323
969	41401	1280
970	41438	1237
971	41473	1194
972	41513	1151
973	41549	1109
974	41589	1066
975	41627	1023
976	41666	980
977	41708	938
978	41746	895
979	41787	852
980	41824	810
981	41863	767
982	41903	724
983	41940	681
984	41975	639
985	42012	596
986	42050	553
987	42095	511
988	42134	468
989	42176	426
990	42218	383
991	42256	340
992	42293	298
993	42334	255
994	42376	212
995	42418	170
996	42457	127
997	42495	85
998	42536	42
999	42578	0
